,Geneid,bwa,kallisto,star
0,A2M_1,86,83,86
1,AAMP_2,50,47,49
2,AARS1_3,66,63,66
3,AATF_4,0,0,0
4,ABCB1_12,57,55,57
5,ABCC2_22,336,326,333
6,ABCC5_26,20,18,19
7,ABCE1_32,7,7,7
8,ABCF1_35,127,127,127
9,ABCF3_36,11,11,11
10,ABCG1_37,0,0,0
11,ABCC3_38,13,13,8
12,ABCG2_39,52,51,52
13,ABCG2_40,0,0,0
14,ABCG2_41,11,11,11
15,ABHD6_45,128,125,127
16,ABL1_46,4,4,2
17,ACADL_49,15,14,15
18,ACAT2_56,80,79,79
19,ACBD3_59,44,42,44
20,ACD_60,5,5,5
21,ACE_61,0,0,0
22,ACHE_63,0,0,0
23,ACLY_66,42,38,40
24,ACOT9_69,0,0,0
25,ACSL1_75,995,950,963
26,ACTB_80,288,275,274
27,ACTBP9_82,2,0,0
28,ACTN2_90,3,3,3
29,ACTR10_93,31,30,31
30,ADAM10_102,42,40,41
31,ADAM23_104,0,0,0
32,ADAMTS2_106,0,0,0
33,ADARB1_112,24,24,24
34,ADAT1_113,0,0,0
35,COQ8A_114,103,102,103
36,ADCY8_120,0,0,0
37,ADCY9_121,3,3,3
38,ADH1A_126,8015,7746,7845
39,ADI1_135,1410,1366,1387
40,ADK_139,563,546,554
41,ADM_140,6,6,6
42,ADO_144,31,29,31
43,ADORA1_145,0,0,0
44,ADORA2A_146,2,2,2
45,ADRA1A_148,116,116,116
46,ADRB2_151,4,4,4
47,GRK2_152,32,30,32
48,ADSL_153,1,1,1
49,AFAP1L2_156,5,5,5
50,AFMID_157,340,332,333
51,AFP_158,252,246,251
52,AGL_162,135,130,135
53,AGPAT2_163,39,37,39
54,GPAT3_164,0,0,0
55,AGRN_165,119,119,119
56,AGT_168,1058,1027,1046
57,AGTR1_171,17,17,17
58,AGTRAP_173,15,14,14
59,AIFM1_183,158,151,158
60,AIM2_184,0,0,0
61,AKAP17A_192,17,17,17
62,AKAP8_195,138,133,131
63,AKAP8L_196,6,6,6
64,AKR1B1_197,18,17,19
65,AKR1C1_199,226,221,224
66,AKR1C3_203,158,154,153
67,AKR1D1_206,882,871,881
68,AKT1_210,21,21,21
69,AKT2_211,13,12,13
70,AKT3_212,4,4,4
71,ALB_217,172075,166992,170611
72,ALDH18A1_218,15,15,15
73,ALDH1A1_221,617,604,613
74,ALDH2_225,7826,7645,7730
75,ALDH4A1_226,359,354,358
76,ALDH7A1_227,1,1,1
77,ALDH9A1_231,87,86,87
78,ALDOA_232,146,144,146
79,ALDOC_233,25,23,24
80,ALG11_234,4,4,4
81,ALG8_238,2,2,2
82,ALPL_243,15,15,15
83,AMD1_247,70,68,69
84,AMDHD2_248,28,28,28
85,AMMECR1L_253,11,10,10
86,AMY2A_256,38,27,38
87,AMZ2P1_262,1,1,1
88,ANAPC1_265,14,14,14
89,ANAPC11_266,28,26,27
90,ANAPC5_271,63,62,63
91,ANKRD10_277,412,399,411
92,ANKRD17_280,16,16,16
93,ANKRD20A11P_282,0,0,0
94,ANKRD20A17P_283,10,10,10
95,ANKRD27_287,13,13,13
96,ANKRD36B_290,3,3,3
97,ANO10_292,13,13,13
98,ANXA5_309,28,27,25
99,ANXA7_312,56,53,55
100,AP1G1_316,1,1,1
101,AP1S1_318,144,136,142
102,AP2A2_321,7,7,7
103,AP2M1_322,9,9,9
104,AP3B1_327,41,39,38
105,AP4M1_331,8,8,8
106,APBA3_333,4,3,4
107,APBB2_336,35,33,35
108,APLN_345,0,0,0
109,APOA4_350,0,0,0
110,APOBEC3G_355,20,19,20
111,APOC3_356,16393,15838,15854
112,APOD_357,2,2,2
113,APOE_358,1194,1167,1183
114,APOO_361,31,29,31
115,COA8_364,61,57,59
116,APP_367,117,115,115
117,APPBP2_370,81,75,70
118,APPL1_371,1,1,1
119,AQP3_373,12,12,12
120,AQP6_375,1,1,1
121,AQP9_378,855,820,818
122,AREG_385,1,1,1
123,ARF1_388,10,8,10
124,ARF5_392,14,14,14
125,ARFGAP1_393,8,8,8
126,ARFGAP3_396,52,52,52
127,ARFGEF2_402,75,72,73
128,ARFIP2_405,20,19,20
129,ARGLU1_410,3,3,3
130,ARHGAP1_411,2,2,2
131,ARHGAP36_416,0,0,0
132,ARHGEF12_420,690,664,679
133,ARHGEF2_423,16,14,16
134,ARHGEF6_426,0,0,0
135,ARHGEF9_427,0,0,0
136,ARID4B_430,105,104,105
137,ARL6IP4_442,331,320,328
138,ARL6IP5_445,61,58,60
139,ARPC4_458,4,3,3
140,ARPC5_462,44,42,41
141,ARPC5L_463,81,79,80
142,ARPP19_466,76,72,73
143,ARSL_468,83,75,79
144,ASAH1_474,0,0,0
145,ASB9_475,16,15,16
146,ASCC3_480,6,6,6
147,GET3_482,23,22,23
148,ASPM_487,0,0,0
149,ATF1_497,0,0,0
150,ATF3_499,1,1,1
151,ATF5_501,1354,1320,1328
152,ATF6_502,70,67,69
153,ATF6B_503,74,70,74
154,ATG3_504,78,75,78
155,ATIC_507,27,25,27
156,ATMIN_513,8,8,8
157,ATP10D_516,13,11,12
158,ATP11B_517,48,48,48
159,ATP1B1_527,303,295,301
160,ATP2C1_533,51,48,49
161,ATP5F1C_537,338,332,338
162,ATP5F1D_538,175,172,173
163,ATP5MC2_543,77,76,77
164,ATP5MC3_546,251,243,248
165,ATP5PD_547,130,126,127
166,ATP5ME_548,975,956,971
167,ATP5MF_549,61,58,59
168,PTCD1_550,1,1,1
169,ATP5PO_552,626,603,604
170,DMAC2L_554,16,16,16
171,ATP6V0A1_558,0,0,0
172,ATP6V0B_562,7,4,7
173,ATP6V0C_563,66,65,66
174,ATP6V0D1_564,174,172,174
175,ATP6V1D_574,67,61,64
176,ATXN3_580,35,33,34
177,AURKA_586,7,7,7
178,AURKB_587,14,14,14
