Geneid,HLIVER_01_bspc_A03_1
A2M_1,83
AAMP_2,47
AARS1_3,63
AATF_4,0
ABCB1_12,55
ABCC2_22,326
ABCC5_26,18
ABCE1_32,7
ABCF1_35,127
ABCF3_36,11
ABCG1_37,0
ABCC3_38,13
ABCG2_39,51
ABCG2_40,0
ABCG2_41,11
ABHD6_45,125
ABL1_46,4
ACADL_49,14
ACAT2_56,79
ACBD3_59,42
ACD_60,5
ACE_61,0
ACHE_63,0
ACLY_66,38
ACOT9_69,0
ACSL1_75,950
ACTB_80,275
ACTBP9_82,0
ACTN2_90,3
ACTR10_93,30
ADAM10_102,40
ADAM23_104,0
ADAMTS2_106,0
ADARB1_112,24
ADAT1_113,0
COQ8A_114,102
ADCY8_120,0
ADCY9_121,3
ADH1A_126,7746
ADI1_135,1366
ADK_139,546
ADM_140,6
ADO_144,29
ADORA1_145,0
ADORA2A_146,2
ADRA1A_148,116
ADRB2_151,4
GRK2_152,30
ADSL_153,1
AFAP1L2_156,5
AFMID_157,332
AFP_158,246
AGL_162,130
AGPAT2_163,37
GPAT3_164,0
AGRN_165,119
AGT_168,1027
AGTR1_171,17
AGTRAP_173,14
AIFM1_183,151
AIM2_184,0
AKAP17A_192,17
AKAP8_195,133
AKAP8L_196,6
AKR1B1_197,17
AKR1C1_199,221
AKR1C3_203,154
AKR1D1_206,871
AKT1_210,21
AKT2_211,12
AKT3_212,4
ALB_217,166992
ALDH18A1_218,15
ALDH1A1_221,604
ALDH2_225,7645
ALDH4A1_226,354
ALDH7A1_227,1
ALDH9A1_231,86
ALDOA_232,144
ALDOC_233,23
ALG11_234,4
ALG8_238,2
ALPL_243,15
AMD1_247,68
AMDHD2_248,28
AMMECR1L_253,10
AMY2A_256,27
AMZ2P1_262,1
ANAPC1_265,14
ANAPC11_266,26
ANAPC5_271,62
ANKRD10_277,399
ANKRD17_280,16
ANKRD20A11P_282,0
ANKRD20A17P_283,10
ANKRD27_287,13
ANKRD36B_290,3
ANO10_292,13
ANXA5_309,27
ANXA7_312,53
AP1G1_316,1
AP1S1_318,136
AP2A2_321,7
AP2M1_322,9
AP3B1_327,39
AP4M1_331,8
APBA3_333,3
APBB2_336,33
APLN_345,0
APOA4_350,0
APOBEC3G_355,19
APOC3_356,15838
APOD_357,2
APOE_358,1167
APOO_361,29
COA8_364,57
APP_367,115
APPBP2_370,75
APPL1_371,1
AQP3_373,12
AQP6_375,1
AQP9_378,820
AREG_385,1
ARF1_388,8
ARF5_392,14
ARFGAP1_393,8
ARFGAP3_396,52
ARFGEF2_402,72
ARFIP2_405,19
ARGLU1_410,3
ARHGAP1_411,2
ARHGAP36_416,0
ARHGEF12_420,664
ARHGEF2_423,14
ARHGEF6_426,0
ARHGEF9_427,0
ARID4B_430,104
ARL6IP4_442,320
ARL6IP5_445,58
ARPC4_458,3
