Geneid,HLIVER_01_bspc_A03_1
A2M_1,86
AAMP_2,49
AARS1_3,66
AATF_4,0
ABCB1_12,57
ABCC2_22,333
ABCC5_26,19
ABCE1_32,7
ABCF1_35,127
ABCF3_36,11
ABCG1_37,0
ABCC3_38,8
ABCG2_39,52
ABCG2_40,0
ABCG2_41,11
ABHD6_45,127
ABL1_46,2
ACADL_49,15
ACAT2_56,79
ACBD3_59,44
ACD_60,5
ACE_61,0
ACHE_63,0
ACLY_66,40
ACOT9_69,0
ACSL1_75,963
ACTB_80,274
ACTBP9_82,0
ACTN2_90,3
ACTR10_93,31
ADAM10_102,41
ADAM23_104,0
ADAMTS2_106,0
ADARB1_112,24
ADAT1_113,0
COQ8A_114,103
ADCY8_120,0
ADCY9_121,3
ADH1A_126,7845
ADI1_135,1387
ADK_139,554
ADM_140,6
ADO_144,31
ADORA1_145,0
ADORA2A_146,2
ADRA1A_148,116
ADRB2_151,4
GRK2_152,32
ADSL_153,1
AFAP1L2_156,5
AFMID_157,333
AFP_158,251
AGL_162,135
AGPAT2_163,39
GPAT3_164,0
AGRN_165,119
AGT_168,1046
AGTR1_171,17
AGTRAP_173,14
AIFM1_183,158
AIM2_184,0
AKAP17A_192,17
AKAP8_195,131
AKAP8L_196,6
AKR1B1_197,19
AKR1C1_199,224
AKR1C3_203,153
AKR1D1_206,881
AKT1_210,21
AKT2_211,13
AKT3_212,4
ALB_217,170611
ALDH18A1_218,15
ALDH1A1_221,613
ALDH2_225,7730
ALDH4A1_226,358
ALDH7A1_227,1
ALDH9A1_231,87
ALDOA_232,146
ALDOC_233,24
ALG11_234,4
ALG8_238,2
ALPL_243,15
AMD1_247,69
AMDHD2_248,28
AMMECR1L_253,10
AMY2A_256,38
AMZ2P1_262,1
ANAPC1_265,14
ANAPC11_266,27
ANAPC5_271,63
ANKRD10_277,411
ANKRD17_280,16
ANKRD20A11P_282,0
ANKRD20A17P_283,10
ANKRD27_287,13
ANKRD36B_290,3
ANO10_292,13
ANXA5_309,25
ANXA7_312,55
AP1G1_316,1
AP1S1_318,142
AP2A2_321,7
AP2M1_322,9
AP3B1_327,38
AP4M1_331,8
APBA3_333,4
APBB2_336,35
APLN_345,0
APOA4_350,0
APOBEC3G_355,20
APOC3_356,15854
APOD_357,2
APOE_358,1183
APOO_361,31
COA8_364,59
APP_367,115
APPBP2_370,70
APPL1_371,1
AQP3_373,12
AQP6_375,1
AQP9_378,818
AREG_385,1
ARF1_388,10
ARF5_392,14
ARFGAP1_393,8
ARFGAP3_396,52
ARFGEF2_402,73
ARFIP2_405,20
ARGLU1_410,3
ARHGAP1_411,2
ARHGAP36_416,0
ARHGEF12_420,679
ARHGEF2_423,16
ARHGEF6_426,0
ARHGEF9_427,0
ARID4B_430,105
ARL6IP4_442,328
ARL6IP5_445,60
ARPC4_458,3
ARPC5_462,41
ARPC5L_463,80
ARPP19_466,73
ARSL_468,79
ASAH1_474,0
ASB9_475,16
ASCC3_480,6
GET3_482,23
ASPM_487,0
ATF1_497,0
ATF3_499,1
ATF5_501,1328
ATF6_502,69
ATF6B_503,74
ATG3_504,78
ATIC_507,27
ATMIN_513,8
ATP10D_516,12
ATP11B_517,48
ATP1B1_527,301
ATP2C1_533,49
ATP5F1C_537,338
ATP5F1D_538,173
ATP5MC2_543,77
ATP5MC3_546,248
ATP5PD_547,127
ATP5ME_548,971
ATP5MF_549,59
PTCD1_550,1
ATP5PO_552,604
DMAC2L_554,16
ATP6V0A1_558,0
ATP6V0B_562,7
ATP6V0C_563,66
ATP6V0D1_564,174
ATP6V1D_574,64
ATXN3_580,34
AURKA_586,7
AURKB_587,14
AZIN1_593,16
B2M_596,1474
B3GALT5_597,0
B3GAT1_598,1
B4GAT1_602,0
B4GALT1_603,1
B4GALT5_608,2
B4GALT7_611,118
BAAT_614,8278
BACE1_615,1
BACE2_618,2
BAD_619,3
BAG3_629,27
BAG6_630,165
BAK1_631,0
BAMBI_634,102
BANF1_635,23
BBC3_640,1
BCAP31_644,171
BCAT2_651,5
BCL11B_654,0
BCL2_658,9
BCL2L1_660,0
BCL2L11_661,4
BCL2L11_663,8
BCL2L13_664,31
BCL2L2_665,5
BCL2L2-PABPN1_667,0
BCL3_668,0
BCL7B_670,16
BDH1_674,136
BDNF_679,0
BECN1_680,42
BHLHE40_689,65
BID_696,53
BIRC2_703,28
BIRC5_709,0
BLM_716,6
BLMH_719,20
BLNK_720,95
BLOC1S1_721,108
BLOC1S4_725,9
BLVRA_731,22
BMI1_732,1
BMP4_737,8
BNIP3L_746,82
BOP1_750,1
BRCA1_757,0
BRD4_767,77
BRI3BP_771,4
BSG_778,215
BTBD1_781,232
BTBD3_785,18
BTK_795,0
BTN3A2_796,22
BUB1B_800,0
BYSL_801,0
BZW2_805,8
RPP38-DT_808,2
BORCS7_812,168
C11orf68_818,19
TMEM263_820,34
C12orf29_822,0
TIGAR_823,11
C12orf57_825,40
C14orf119_831,88
GON7_834,1
RTRAF_836,129
CFAP20_840,99
C18orf32_845,0
C19orf38_848,2
TRIR_850,707
MCEMP1_855,1
MICOS13_857,2
C19orf73_858,2
C1D_859,20
C1orf131_862,110
C1orf43_866,488
C1QA_867,19
C1R_871,3460
CFB_872,13188
C2CD2_875,6
C2CD2L_878,1
C2CD5_880,25
C2orf27B_881,0
C2orf76_885,0
C3_886,3069
C5_890,853
C6orf120_898,123
SNHG32_901,148
C6orf62_903,222
C7orf61_904,0
CA12_907,0
CA2_908,131
CA9_915,0
CAB39_918,188
CACNA1H_920,1
CACNA2D2_921,0
CACYBP_926,3
CALM1_934,87
CALM2_937,146
CALM3_940,15
CALR_943,1746
CALU_944,5
CAMK2A_948,0
CAMSAP2_955,13
CANT1_956,18
CAPN1_957,29
CAPNS1_958,123
CASC3_973,0
CASK_976,16
CASP1_977,1
CASP10_978,0
CASP10_979,2
CASP2_982,18
CASP3_983,18
CASP7_985,50
CASP8_989,31
CASP9_992,25
CAT_999,3286
CBLB_1005,0
CBR1_1006,945
CBR3_1007,0
CBWD1_1009,245
CBX6_1013,33
CFAP65_1017,0
CCDC113_1018,0
CCDC130_1019,10
CCDC186_1024,0
CCDC63_1025,0
CCDC85B_1030,2
CCDC86_1031,2
CCDC92_1033,44
CCL2_1039,7
CCL3_1043,11
CCL4_1045,0
CCNA2_1050,21
CCNB1_1053,7
CCNB1IP1_1054,45
CCNB2_1057,4
CCNB3_1058,0
CCND1_1062,18
CCND2_1063,3
CCNDBP1_1069,66
CCNE1_1070,0
CCNE2_1073,0
CCNF_1076,1
CCNG1_1079,119
CCNL1_1085,34
CCNL2_1086,249
CCNO_1087,0
CCRL2_1096,2
CCT2_1098,46
CCT3_1099,103
CD226_1109,55
CD2BP2_1115,3
CD320_1116,20
CD3D_1127,77
CD4_1128,25
CD40_1129,6
CD44_1134,93
CD46_1137,659
CD55_1141,80
CD58_1144,47
CD69_1145,0
CD74_1146,53
CD8A_1152,13
ADGRE5_1154,15
CDA_1155,17
CDC25A_1158,1
CDC25B_1161,36
CDC26_1162,66
CDC34_1163,50
CDC42SE2_1169,0
CDC5L_1174,311
CDC6_1177,23
CDCA4_1183,1
CDCA5_1184,0
CDCA8_1185,4
CDH1_1186,44
CDH3_1191,0
CDH5_1192,10
CDIPT_1193,114
CDK1_1196,18
CDK11A_1197,19
CDK11B_1198,35
CDK19_1201,20
CDK2_1202,5
CDK4_1203,188
CDK5_1206,7
CDK5R1_1209,1
