Geneid,rat_DMF_hi_RPH_6_S54_L002_R1_001
ENSRNOT00000080234_34129,2
ENSRNOT00000059468_34130,416
ENSRNOT00000060258_34131,168
ENSRNOT00000075229_34132,0
ENSRNOT00000010059_34133,5
ENSRNOT00000084433_34134,0
ENSRNOT00000035838_34135,72
ENSRNOT00000026586_34136,0
ENSRNOT00000018741_34137,0
ENSRNOT00000081937_34138,4
ENSRNOT00000025355_34139,0
ENSRNOT00000007971_34140,0
ENSRNOT00000077412_34141,0
ENSRNOT00000060648_34142,0
ENSRNOT00000024885_34143,10
ENSRNOT00000080807_34144,0
ENSRNOT00000005244_34145,0
ENSRNOT00000090548_34146,0
ENSRNOT00000020405_34147,21
ENSRNOT00000071580_34148,35
ENSRNOT00000072754_34149,1
ENSRNOT00000016567_34150,8
ENSRNOT00000044659_34151,1
ENSRNOT00000065168_34152,0
ENSRNOT00000068267_34153,1
ENSRNOT00000072397_34154,0
ENSRNOT00000071387_34155,0
ENSRNOT00000010824_34156,88
ENSRNOT00000087336_34157,0
ENSRNOT00000048027_34158,44
ENSRNOT00000041259_34159,0
ENSRNOT00000013956_34160,57
ENSRNOT00000030148_34161,0
ENSRNOT00000074809_34162,1
ENSRNOT00000024218_34163,97
ENSRNOT00000010158_34164,0
ENSRNOT00000038924_34165,0
ENSRNOT00000001327_34166,8
ENSRNOT00000008164_34167,147
ENSRNOT00000007602_34168,0
ENSRNOT00000022633_34169,0
ENSRNOT00000010561_34170,0
ENSRNOT00000019447_34171,5
ENSRNOT00000090552_34172,231
ENSRNOT00000083110_34173,123
ENSRNOT00000064950_34174,0
ENSRNOT00000003922_34175,11
ENSRNOT00000004948_34176,24
ENSRNOT00000018351_34177,0
ENSRNOT00000004589_34178,0
ENSRNOT00000050034_34179,0
ENSRNOT00000083374_34180,0
ENSRNOT00000092660_34181,0
ENSRNOT00000023037_34182,98
ENSRNOT00000001238_34183,0
ENSRNOT00000063772_34184,99
ENSRNOT00000010045_34185,0
ENSRNOT00000091674_34186,0
ENSRNOT00000093357_34187,0
ENSRNOT00000006646_34188,0
ENSRNOT00000065546_34189,3
ENSRNOT00000023874_34190,0
ENSRNOT00000041134_34191,0
ENSRNOT00000055988_34192,34
ENSRNOT00000091977_34193,0
ENSRNOT00000075648_34194,0
ENSRNOT00000050041_34195,59
ENSRNOT00000043345_34196,10
ENSRNOT00000027244_34197,17
ENSRNOT00000090096_34198,243
ENSRNOT00000066552_34199,4
ENSRNOT00000058039_34200,0
ENSRNOT00000047436_34201,0
ENSRNOT00000008661_34202,0
ENSRNOT00000064891_34203,409
ENSRNOT00000014182_34204,107
ENSRNOT00000093301_34205,0
ENSRNOT00000059530_34206,0
ENSRNOT00000030164_34207,0
ENSRNOT00000061342_34208,27
ENSRNOT00000012102_34209,242
ENSRNOT00000055970_34210,207
ENSRNOT00000020015_34211,184
ENSRNOT00000004179_34212,12
ENSRNOT00000074390_34213,0
ENSRNOT00000092432_34214,3
ENSRNOT00000038764_34215,0
ENSRNOT00000003017_34216,39
ENSRNOT00000082344_34217,85
ENSRNOT00000013204_34218,93
ENSRNOT00000075455_34219,0
ENSRNOT00000012600_34220,6
ENSRNOT00000076562_34221,0
ENSRNOT00000002888_34222,45
ENSRNOT00000084367_34223,0
ENSRNOT00000020678_34320,0
ENSRNOT00000072249_34321,0
ENSRNOT00000009540_34322,0
ENSRNOT00000013571_34323,82
ENSRNOT00000045532_34324,0
ENSRNOT00000052009_34325,0
ENSRNOT00000092112_34326,42
ENSRNOT00000019698_34327,63
ENSRNOT00000012825_34328,2
ENSRNOT00000000193_34329,0
ENSRNOT00000041125_34330,0
ENSRNOT00000090259_34331,822
ENSRNOT00000018543_34332,49
ENSRNOT00000087372_34333,0
ENSRNOT00000061432_34334,0
ENSRNOT00000086118_34335,0
ENSRNOT00000051694_34336,0
ENSRNOT00000003346_34337,787
ENSRNOT00000012328_34338,11
ENSRNOT00000014650_34339,162
ENSRNOT00000023999_34340,0
ENSRNOT00000013009_34341,0
ENSRNOT00000008041_34342,308
ENSRNOT00000085260_34343,149
ENSRNOT00000017202_34344,61
ENSRNOT00000077996_34345,1
ENSRNOT00000080956_34346,0
ENSRNOT00000013581_34347,97
ENSRNOT00000016521_34348,0
ENSRNOT00000017852_34349,0
ENSRNOT00000064450_34350,5
ENSRNOT00000009934_34351,0
ENSRNOT00000087852_34352,12
ENSRNOT00000071725_34353,0
ENSRNOT00000075235_34354,0
ENSRNOT00000074757_34355,0
ENSRNOT00000026504_34356,0
ENSRNOT00000021097_34357,0
ENSRNOT00000008613_34358,0
ENSRNOT00000065921_34359,39
ENSRNOT00000012464_34360,0
ENSRNOT00000051024_34361,0
ENSRNOT00000043154_34362,0
ENSRNOT00000016664_34363,0
ENSRNOT00000074274_34364,45
ENSRNOT00000039580_34365,4
ENSRNOT00000060002_34366,0
ENSRNOT00000027194_34367,65
ENSRNOT00000073670_34368,0
ENSRNOT00000000549_34369,50
ENSRNOT00000006780_34370,38
ENSRNOT00000087106_34371,0
ENSRNOT00000008880_34372,0
ENSRNOT00000040778_34373,8
ENSRNOT00000026946_34374,0
ENSRNOT00000013445_34375,85
ENSRNOT00000075114_34376,0
ENSRNOT00000011292_34377,0
ENSRNOT00000073506_34378,0
ENSRNOT00000057814_34379,16
ENSRNOT00000084529_34380,0
ENSRNOT00000032324_34381,249
ENSRNOT00000086829_34382,50
ENSRNOT00000079394_34383,18
ENSRNOT00000024296_34384,21
ENSRNOT00000023274_34385,36
ENSRNOT00000028316_34386,73
ENSRNOT00000016135_34387,43
ENSRNOT00000081160_34388,0
ENSRNOT00000071856_34389,49
ENSRNOT00000030097_34390,1
ENSRNOT00000007993_34391,0
ENSRNOT00000043626_34392,0
ENSRNOT00000085229_34393,112
ENSRNOT00000088549_34394,73
ENSRNOT00000018685_34395,0
ENSRNOT00000073059_34396,0
ENSRNOT00000088880_34397,11
ENSRNOT00000090064_34398,0
ENSRNOT00000002155_34399,0
ENSRNOT00000019109_34400,1
ENSRNOT00000091863_34401,0
ENSRNOT00000002500_34402,83
ENSRNOT00000025403_34403,21
ENSRNOT00000084521_34404,2
ENSRNOT00000068459_34405,0
ENSRNOT00000047453_34406,0
ENSRNOT00000064103_34407,0
ENSRNOT00000076708_34408,114
ENSRNOT00000027675_34409,51
ENSRNOT00000072722_34410,61
ENSRNOT00000014949_34411,0
ENSRNOT00000036564_34412,0
ENSRNOT00000022823_34413,0
ENSRNOT00000017779_34414,68
ENSRNOT00000049221_34415,0
ENSRNOT00000004323_34416,318
ENSRNOT00000067577_34417,0
ENSRNOT00000023952_34418,3
ENSRNOT00000072022_34419,0
ENSRNOT00000082319_34420,0
ENSRNOT00000072079_34421,0
ENSRNOT00000001368_34422,132
ENSRNOT00000004895_34423,845
ENSRNOT00000035047_34424,66
ENSRNOT00000005168_34425,0
ENSRNOT00000009557_34426,1
ENSRNOT00000054794_34427,2
ENSRNOT00000088824_34428,1
ENSRNOT00000015792_34429,31
ENSRNOT00000045016_34430,2
ENSRNOT00000071378_34431,0
ENSRNOT00000024151_34432,0
ENSRNOT00000034426_34433,0
ENSRNOT00000024402_34434,0
ENSRNOT00000040561_34435,0
ENSRNOT00000029782_34436,1
ENSRNOT00000064592_34437,33
ENSRNOT00000086276_34438,0
ENSRNOT00000071796_34439,77
ENSRNOT00000073492_34440,1491
ENSRNOT00000088870_34441,0
ENSRNOT00000066593_34442,64
ENSRNOT00000040447_34443,2
ENSRNOT00000023845_34444,36
ENSRNOT00000077968_34445,0
ENSRNOT00000080482_34446,27
ENSRNOT00000001730_34447,0
ENSRNOT00000091759_34448,0
ENSRNOT00000005293_34449,42
ENSRNOT00000054852_34450,0
ENSRNOT00000082981_34451,43
ENSRNOT00000048655_34452,0
ENSRNOT00000020329_34453,105
ENSRNOT00000041124_34454,0
ENSRNOT00000038347_34455,0
ENSRNOT00000079385_34456,85
ENSRNOT00000082806_34457,0
ENSRNOT00000040431_34458,0
ENSRNOT00000034757_34459,0
ENSRNOT00000019130_34460,0
ENSRNOT00000075403_34461,121
ENSRNOT00000087404_34462,0
ENSRNOT00000022714_34463,46
ENSRNOT00000058061_34464,0
ENSRNOT00000027202_34465,0
ENSRNOT00000004843_34466,36
ENSRNOT00000042079_34467,184
ENSRNOT00000015618_34468,2051
ENSRNOT00000046314_34469,36
ENSRNOT00000073356_34470,25
ENSRNOT00000019498_34471,0
ENSRNOT00000066666_34472,0
ENSRNOT00000037248_34473,24
ENSRNOT00000023963_34474,92
ENSRNOT00000017448_34475,143
ENSRNOT00000032106_34476,1
ENSRNOT00000011368_34477,0
ENSRNOT00000021739_34478,16
ENSRNOT00000028758_34479,624
ENSRNOT00000039709_34480,34
ENSRNOT00000092470_34481,16
ENSRNOT00000014921_34482,0
ENSRNOT00000035612_34483,0
ENSRNOT00000038758_34484,0
ENSRNOT00000064945_34485,0
ENSRNOT00000071863_34486,0
ENSRNOT00000008451_34487,5
ENSRNOT00000074199_34488,0
ENSRNOT00000080676_34489,958
ENSRNOT00000004853_34490,144
ENSRNOT00000074810_34491,21
ENSRNOT00000009034_34492,0
ENSRNOT00000026648_34493,305
ENSRNOT00000023649_34494,14
ENSRNOT00000033288_34495,5
ENSRNOT00000088448_34496,311
ENSRNOT00000071007_34497,0
ENSRNOT00000000639_34498,73
ENSRNOT00000029600_34499,3
ENSRNOT00000072778_34500,50
ENSRNOT00000012138_34501,46
ENSRNOT00000010676_34502,50
ENSRNOT00000088919_34503,173
ENSRNOT00000033493_34504,21
ENSRNOT00000067026_34505,0
ENSRNOT00000031678_34506,0
ENSRNOT00000024185_34507,1
ENSRNOT00000036219_34508,0
ENSRNOT00000019627_34509,139
ENSRNOT00000019911_34510,57
ENSRNOT00000055867_34511,0
ENSRNOT00000068666_34512,1
ENSRNOT00000030413_34513,0
ENSRNOT00000058640_34514,293
ENSRNOT00000014506_34515,0
ENSRNOT00000090224_34516,0
ENSRNOT00000051338_34517,0
ENSRNOT00000005997_34518,42
ENSRNOT00000064916_34519,23
ENSRNOT00000026297_34520,604
ENSRNOT00000004274_34521,154
ENSRNOT00000013116_34522,0
ENSRNOT00000020100_34523,0
ENSRNOT00000060994_34524,0
ENSRNOT00000038279_34525,210
ENSRNOT00000059124_34526,0
ENSRNOT00000087559_34527,0
ENSRNOT00000015440_34528,18
ENSRNOT00000033648_34529,0
ENSRNOT00000023383_34530,496
ENSRNOT00000025626_34531,635
ENSRNOT00000001581_34532,43
ENSRNOT00000005871_34533,0
ENSRNOT00000073965_34534,0
ENSRNOT00000043747_34535,105
ENSRNOT00000008687_34536,740
ENSRNOT00000017692_34537,0
ENSRNOT00000024243_34538,0
ENSRNOT00000009203_34539,22
ENSRNOT00000046828_34540,0
ENSRNOT00000012179_34541,90
ENSRNOT00000002182_34542,8
ENSRNOT00000083105_34543,0
ENSRNOT00000026710_34544,462
ENSRNOT00000020417_34545,155
ENSRNOT00000011094_34546,2
ENSRNOT00000015975_34547,0
ENSRNOT00000016751_34548,205
ENSRNOT00000026030_34549,0
ENSRNOT00000021614_34550,0
ENSRNOT00000003715_34551,367
ENSRNOT00000025635_34552,0
ENSRNOT00000055271_34553,0
ENSRNOT00000046370_34554,0
ENSRNOT00000046381_34555,0
ENSRNOT00000026287_34556,61
ENSRNOT00000017125_34557,0
ENSRNOT00000041883_34558,0
ENSRNOT00000091670_34559,28
ENSRNOT00000060309_34560,0
ENSRNOT00000067509_34561,1
ENSRNOT00000056355_34562,7
ENSRNOT00000086798_34563,9
ENSRNOT00000025084_34564,7
ENSRNOT00000018564_34565,0
ENSRNOT00000074497_34566,1
ENSRNOT00000064297_34567,1
ENSRNOT00000036314_34568,0
ENSRNOT00000089719_34569,15
ENSRNOT00000005368_34570,452
ENSRNOT00000089612_34571,251
ENSRNOT00000073533_34572,0
ENSRNOT00000020078_34573,0
ENSRNOT00000052379_34574,0
ENSRNOT00000067393_34575,34
ENSRNOT00000085607_34576,2
ENSRNOT00000038359_34577,0
ENSRNOT00000050223_34578,5634
ENSRNOT00000058917_34579,18
ENSRNOT00000001174_34580,1
ENSRNOT00000059780_34581,479
ENSRNOT00000071364_34582,167
ENSRNOT00000083163_34583,0
ENSRNOT00000080747_34584,7
ENSRNOT00000006850_34585,0
ENSRNOT00000041376_34586,155
ENSRNOT00000043382_34587,0
ENSRNOT00000028030_34588,40
ENSRNOT00000079850_34589,0
ENSRNOT00000042321_34590,0
ENSRNOT00000008630_34591,112
ENSRNOT00000040236_34592,0
ENSRNOT00000068037_34593,0
ENSRNOT00000072511_34594,26
ENSRNOT00000074593_34595,0
ENSRNOT00000072406_34596,0
ENSRNOT00000078322_34597,0
ENSRNOT00000014510_34598,17
ENSRNOT00000082521_34599,0
ENSRNOT00000035486_34600,23
ENSRNOT00000020673_34601,0
ENSRNOT00000080108_34602,5
ENSRNOT00000079847_34603,118
ENSRNOT00000042875_34604,6
ENSRNOT00000072895_34605,0
ENSRNOT00000070921_34606,66
ENSRNOT00000006833_34607,0
ENSRNOT00000005039_34608,0
ENSRNOT00000027640_34609,85
ENSRNOT00000061930_34610,13
ENSRNOT00000003974_34611,30
ENSRNOT00000047002_34612,0
ENSRNOT00000081347_34613,0
ENSRNOT00000051511_34614,0
ENSRNOT00000073046_34615,0
ENSRNOT00000005768_34616,0
ENSRNOT00000047354_34617,8
ENSRNOT00000089672_34618,0
ENSRNOT00000044690_34619,0
ENSRNOT00000022017_34620,46
ENSRNOT00000055279_34621,0
ENSRNOT00000044085_34622,48
ENSRNOT00000093325_34623,4
ENSRNOT00000020366_34624,12
ENSRNOT00000092031_34625,0
ENSRNOT00000016728_34626,75
ENSRNOT00000042552_34627,0
ENSRNOT00000002180_34628,50
ENSRNOT00000079836_34629,205
ENSRNOT00000065366_34630,0
ENSRNOT00000002284_34631,103
ENSRNOT00000055030_34632,10
ENSRNOT00000008783_34633,0
ENSRNOT00000067228_34634,808
ENSRNOT00000078664_34635,0
ENSRNOT00000079704_34636,0
ENSRNOT00000049311_34637,2
ENSRNOT00000012379_34638,0
ENSRNOT00000001079_34639,106
ENSRNOT00000065501_34640,0
ENSRNOT00000040625_34641,17
ENSRNOT00000066674_34642,1102
ENSRNOT00000009275_34643,105
ENSRNOT00000026492_34644,15
ENSRNOT00000008911_34645,44
ENSRNOT00000038977_34646,0
ENSRNOT00000044944_34647,931
ENSRNOT00000067653_34648,0
ENSRNOT00000000448_34649,77
ENSRNOT00000038517_34650,54
ENSRNOT00000056714_34651,0
ENSRNOT00000090359_34652,0
ENSRNOT00000027994_34653,0
ENSRNOT00000026499_34654,126
ENSRNOT00000085905_34655,306
ENSRNOT00000073258_34656,638
ENSRNOT00000077119_34657,117
ENSRNOT00000024033_34658,2395
ENSRNOT00000087044_34659,18
ENSRNOT00000022988_34660,112
ENSRNOT00000066199_34661,302
ENSRNOT00000026653_34662,6
ENSRNOT00000007946_34663,0
ENSRNOT00000025434_34664,0
ENSRNOT00000090680_34665,39
ENSRNOT00000028974_34666,4
ENSRNOT00000027022_34667,516
ENSRNOT00000001559_34668,0
ENSRNOT00000090073_34669,42
ENSRNOT00000090886_34670,31
ENSRNOT00000007690_34671,0
ENSRNOT00000003907_34672,114
ENSRNOT00000002814_34673,0
