Geneid,rat_DMF_hi_RPH_6_S54_L002_R1_001
A2M_1,0
AAMP_2,0
AARS1_3,0
AATF_4,0
ABCB1_12,0
ABCC2_22,0
ABCC5_26,0
ABCE1_32,0
ABCF1_35,0
ABCF3_36,0
ABCG1_37,0
ABCC3_38,0
ABCG2_39,0
ABCG2_40,0
ABCG2_41,0
ABHD6_45,0
ABL1_46,0
ACADL_49,0
ACAT2_56,0
ACBD3_59,0
ACD_60,0
ACE_61,0
ACHE_63,0
ACLY_66,0
ACOT9_69,0
ACSL1_75,0
ACTB_80,0
ACTBP9_82,0
ACTN2_90,0
ACTR10_93,0
ADAM10_102,0
ADAM23_104,0
ADAMTS2_106,0
ADARB1_112,0
ADAT1_113,0
COQ8A_114,0
ADCY8_120,0
ADCY9_121,0
ADH1A_126,0
ADI1_135,0
ADK_139,0
ADM_140,0
ADO_144,0
ADORA1_145,0
ADORA2A_146,0
ADRA1A_148,0
ADRB2_151,0
GRK2_152,0
ADSL_153,0
AFAP1L2_156,0
AFMID_157,0
AFP_158,0
AGL_162,0
AGPAT2_163,0
GPAT3_164,0
AGRN_165,0
AGT_168,0
AGTR1_171,0
AGTRAP_173,0
AIFM1_183,0
AIM2_184,0
AKAP17A_192,0
AKAP8_195,0
AKAP8L_196,0
AKR1B1_197,0
AKR1C1_199,0
AKR1C3_203,0
AKR1D1_206,0
AKT1_210,0
AKT2_211,0
AKT3_212,0
ALB_217,0
ALDH18A1_218,0
ALDH1A1_221,0
ALDH2_225,0
ALDH4A1_226,0
ALDH7A1_227,0
ALDH9A1_231,0
ALDOA_232,0
ALDOC_233,0
ALG11_234,0
ALG8_238,0
ALPL_243,0
AMD1_247,0
AMDHD2_248,0
AMMECR1L_253,0
AMY2A_256,0
AMZ2P1_262,0
ANAPC1_265,0
ANAPC11_266,0
ANAPC5_271,0
ANKRD10_277,0
ANKRD17_280,0
ANKRD20A11P_282,0
ANKRD20A17P_283,0
ANKRD20A9P_285,0
ANKRD27_287,0
ANKRD36B_290,0
ANO10_292,0
ANXA5_309,0
ANXA7_312,0
AP1G1_316,0
AP1S1_318,0
AP2A2_321,0
AP2M1_322,0
AP3B1_327,0
AP4M1_331,0
APBA3_333,0
APBB2_336,0
APLN_345,0
APOA4_350,0
APOBEC3G_355,0
APOC3_356,0
