,Geneid,bwa,kallisto,star
0,ENSRNOT00000080234_34129,2,2,2
1,ENSRNOT00000059468_34130,416,406,367
2,ENSRNOT00000060258_34131,168,163,150
3,ENSRNOT00000075229_34132,0,0,0
4,ENSRNOT00000010059_34133,5,5,5
5,ENSRNOT00000084433_34134,0,0,0
6,ENSRNOT00000035838_34135,72,72,63
7,ENSRNOT00000026586_34136,0,0,0
8,ENSRNOT00000018741_34137,0,0,0
9,ENSRNOT00000081937_34138,4,4,4
10,ENSRNOT00000025355_34139,0,0,0
11,ENSRNOT00000007971_34140,0,0,0
12,ENSRNOT00000077412_34141,0,0,0
13,ENSRNOT00000060648_34142,0,0,0
14,ENSRNOT00000024885_34143,10,10,10
15,ENSRNOT00000080807_34144,0,0,0
16,ENSRNOT00000005244_34145,0,0,0
17,ENSRNOT00000090548_34146,0,0,0
18,ENSRNOT00000020405_34147,21,21,20
19,ENSRNOT00000071580_34148,35,35,30
20,ENSRNOT00000072754_34149,1,1,1
21,ENSRNOT00000016567_34150,8,8,7
22,ENSRNOT00000044659_34151,1,1,1
23,ENSRNOT00000065168_34152,0,0,0
24,ENSRNOT00000068267_34153,1,1,1
25,ENSRNOT00000072397_34154,0,0,0
26,ENSRNOT00000071387_34155,0,0,0
27,ENSRNOT00000010824_34156,88,86,83
28,ENSRNOT00000087336_34157,0,0,0
29,ENSRNOT00000048027_34158,44,44,40
30,ENSRNOT00000041259_34159,0,0,0
31,ENSRNOT00000013956_34160,57,56,56
32,ENSRNOT00000030148_34161,0,0,0
33,ENSRNOT00000074809_34162,1,1,1
34,ENSRNOT00000024218_34163,97,90,83
35,ENSRNOT00000010158_34164,0,0,0
36,ENSRNOT00000038924_34165,0,0,0
37,ENSRNOT00000001327_34166,8,8,6
38,ENSRNOT00000008164_34167,147,145,121
39,ENSRNOT00000007602_34168,0,0,0
40,ENSRNOT00000022633_34169,0,0,0
41,ENSRNOT00000010561_34170,0,0,0
42,ENSRNOT00000019447_34171,5,5,4
43,ENSRNOT00000090552_34172,231,226,214
44,ENSRNOT00000083110_34173,123,121,89
45,ENSRNOT00000064950_34174,0,0,0
46,ENSRNOT00000003922_34175,11,11,10
47,ENSRNOT00000004948_34176,24,24,22
48,ENSRNOT00000018351_34177,0,0,0
49,ENSRNOT00000004589_34178,0,0,0
50,ENSRNOT00000050034_34179,0,0,0
51,ENSRNOT00000083374_34180,0,0,0
52,ENSRNOT00000092660_34181,0,0,0
53,ENSRNOT00000023037_34182,98,90,81
54,ENSRNOT00000001238_34183,0,0,0
55,ENSRNOT00000063772_34184,99,97,89
56,ENSRNOT00000010045_34185,0,0,0
57,ENSRNOT00000091674_34186,0,0,0
58,ENSRNOT00000093357_34187,0,0,0
59,ENSRNOT00000006646_34188,0,0,0
60,ENSRNOT00000065546_34189,3,3,2
61,ENSRNOT00000023874_34190,0,0,0
62,ENSRNOT00000041134_34191,0,0,0
63,ENSRNOT00000055988_34192,34,33,31
64,ENSRNOT00000091977_34193,0,0,0
65,ENSRNOT00000075648_34194,0,0,0
66,ENSRNOT00000050041_34195,59,57,48
67,ENSRNOT00000043345_34196,10,10,9
68,ENSRNOT00000027244_34197,17,16,15
69,ENSRNOT00000090096_34198,243,235,213
70,ENSRNOT00000066552_34199,4,4,4
71,ENSRNOT00000058039_34200,0,0,0
72,ENSRNOT00000047436_34201,0,0,0
73,ENSRNOT00000008661_34202,0,0,0
74,ENSRNOT00000064891_34203,409,386,363
75,ENSRNOT00000014182_34204,107,107,95
76,ENSRNOT00000093301_34205,0,0,0
77,ENSRNOT00000059530_34206,0,0,0
78,ENSRNOT00000030164_34207,0,0,0
79,ENSRNOT00000061342_34208,27,26,23
80,ENSRNOT00000012102_34209,242,227,204
81,ENSRNOT00000055970_34210,207,197,183
82,ENSRNOT00000020015_34211,184,176,154
83,ENSRNOT00000004179_34212,12,12,12
84,ENSRNOT00000074390_34213,0,0,0
85,ENSRNOT00000092432_34214,3,3,3
86,ENSRNOT00000038764_34215,0,0,0
87,ENSRNOT00000003017_34216,39,36,34
88,ENSRNOT00000082344_34217,85,77,73
89,ENSRNOT00000013204_34218,93,90,78
90,ENSRNOT00000075455_34219,0,0,0
91,ENSRNOT00000012600_34220,6,6,6
92,ENSRNOT00000076562_34221,0,0,0
93,ENSRNOT00000002888_34222,45,44,44
94,ENSRNOT00000084367_34223,0,0,0
95,ENSRNOT00000020678_34320,0,0,0
96,ENSRNOT00000072249_34321,0,0,0
97,ENSRNOT00000009540_34322,0,0,0
98,ENSRNOT00000013571_34323,82,80,59
99,ENSRNOT00000045532_34324,0,0,0
100,ENSRNOT00000052009_34325,0,0,0
101,ENSRNOT00000092112_34326,42,41,34
102,ENSRNOT00000019698_34327,63,63,57
103,ENSRNOT00000012825_34328,2,2,2
104,ENSRNOT00000000193_34329,0,0,0
105,ENSRNOT00000041125_34330,0,0,0
106,ENSRNOT00000090259_34331,822,787,693
107,ENSRNOT00000018543_34332,49,49,35
108,ENSRNOT00000087372_34333,0,0,0
109,ENSRNOT00000061432_34334,0,0,0
110,ENSRNOT00000086118_34335,0,0,0
111,ENSRNOT00000051694_34336,0,0,0
112,ENSRNOT00000003346_34337,787,755,636
113,ENSRNOT00000012328_34338,11,8,6
114,ENSRNOT00000014650_34339,162,156,139
115,ENSRNOT00000023999_34340,0,0,0
116,ENSRNOT00000013009_34341,0,0,0
117,ENSRNOT00000008041_34342,308,287,247
118,ENSRNOT00000085260_34343,149,145,132
119,ENSRNOT00000017202_34344,61,59,44
120,ENSRNOT00000077996_34345,1,1,1
121,ENSRNOT00000080956_34346,0,0,0
122,ENSRNOT00000013581_34347,97,94,79
123,ENSRNOT00000016521_34348,0,0,0
124,ENSRNOT00000017852_34349,0,0,0
125,ENSRNOT00000064450_34350,5,5,5
126,ENSRNOT00000009934_34351,0,0,0
127,ENSRNOT00000087852_34352,12,12,10
128,ENSRNOT00000071725_34353,0,0,0
129,ENSRNOT00000075235_34354,0,0,0
130,ENSRNOT00000074757_34355,0,0,0
131,ENSRNOT00000026504_34356,0,0,0
132,ENSRNOT00000021097_34357,0,0,0
133,ENSRNOT00000008613_34358,0,0,0
134,ENSRNOT00000065921_34359,39,37,29
135,ENSRNOT00000012464_34360,0,0,0
136,ENSRNOT00000051024_34361,0,0,0
137,ENSRNOT00000043154_34362,0,0,0
138,ENSRNOT00000016664_34363,0,0,0
139,ENSRNOT00000074274_34364,45,42,31
140,ENSRNOT00000039580_34365,4,4,4
141,ENSRNOT00000060002_34366,0,0,0
142,ENSRNOT00000027194_34367,65,64,53
143,ENSRNOT00000073670_34368,0,0,0
144,ENSRNOT00000000549_34369,50,48,41
145,ENSRNOT00000006780_34370,38,38,33
146,ENSRNOT00000087106_34371,0,0,0
147,ENSRNOT00000008880_34372,0,0,0
148,ENSRNOT00000040778_34373,8,8,6
149,ENSRNOT00000026946_34374,0,0,0
150,ENSRNOT00000013445_34375,85,82,67
151,ENSRNOT00000075114_34376,0,0,0
152,ENSRNOT00000011292_34377,0,0,0
153,ENSRNOT00000073506_34378,0,0,0
154,ENSRNOT00000057814_34379,16,15,15
155,ENSRNOT00000084529_34380,0,0,0
156,ENSRNOT00000032324_34381,249,242,195
157,ENSRNOT00000086829_34382,50,48,38
158,ENSRNOT00000079394_34383,18,18,18
159,ENSRNOT00000024296_34384,21,20,17
160,ENSRNOT00000023274_34385,36,31,27
161,ENSRNOT00000028316_34386,73,69,54
162,ENSRNOT00000016135_34387,43,36,30
163,ENSRNOT00000081160_34388,0,0,0
164,ENSRNOT00000071856_34389,49,39,28
165,ENSRNOT00000030097_34390,1,1,0
166,ENSRNOT00000007993_34391,0,0,0
167,ENSRNOT00000043626_34392,0,0,0
168,ENSRNOT00000085229_34393,112,109,81
169,ENSRNOT00000088549_34394,73,66,47
170,ENSRNOT00000018685_34395,0,0,0
171,ENSRNOT00000073059_34396,0,0,0
172,ENSRNOT00000088880_34397,11,11,8
173,ENSRNOT00000090064_34398,0,0,0
174,ENSRNOT00000002155_34399,0,0,0
175,ENSRNOT00000019109_34400,1,1,1
176,ENSRNOT00000091863_34401,0,0,0
177,ENSRNOT00000002500_34402,83,76,65
178,ENSRNOT00000025403_34403,21,19,16
179,ENSRNOT00000084521_34404,2,2,0
180,ENSRNOT00000068459_34405,0,0,0
181,ENSRNOT00000047453_34406,0,0,0
182,ENSRNOT00000064103_34407,0,0,0
183,ENSRNOT00000076708_34408,114,113,103
184,ENSRNOT00000027675_34409,51,51,44
185,ENSRNOT00000072722_34410,61,57,46
186,ENSRNOT00000014949_34411,0,0,0
187,ENSRNOT00000036564_34412,0,0,0
188,ENSRNOT00000022823_34413,0,0,0
189,ENSRNOT00000017779_34414,68,62,58
190,ENSRNOT00000049221_34415,0,0,0
191,ENSRNOT00000004323_34416,318,311,286
192,ENSRNOT00000067577_34417,0,0,0
193,ENSRNOT00000023952_34418,3,3,3
194,ENSRNOT00000072022_34419,0,0,0
195,ENSRNOT00000082319_34420,0,0,0
196,ENSRNOT00000072079_34421,0,0,0
