E,,R902 ,R908 ,R911 ,R912 ,R913 ,R919 ,R920 ,R921 ,R922 ,R923 ,R924 ,R935 
,,1,2,3,4,5,6,7,8,9,10,11,12
F904 ,A,F904 R902 ,F904 R908 ,F904 R911 ,F904 R912 ,F904 R913 ,F904 R919 ,F904 R920 ,F904 R921 ,F904 R922 ,F904 R923 ,F904 R924 ,F904 R935 
F906 ,B,F906 R902 ,F906 R908 ,F906 R911 ,F906 R912 ,F906 R913 ,F906 R919 ,F906 R920 ,F906 R921 ,F906 R922 ,F906 R923 ,F906 R924 ,F906 R935 
F908 ,C,F908 R902 ,F908 R908 ,F908 R911 ,F908 R912 ,F908 R913 ,F908 R919 ,F908 R920 ,F908 R921 ,F908 R922 ,F908 R923 ,F908 R924 ,F908 R935 
F916 ,D,F916 R902 ,F916 R908 ,F916 R911 ,F916 R912 ,F916 R913 ,F916 R919 ,F916 R920 ,F916 R921 ,F916 R922 ,F916 R923 ,F916 R924 ,F916 R935 
F927 ,E,F927 R902 ,F927 R908 ,F927 R911 ,F927 R912 ,F927 R913 ,F927 R919 ,F927 R920 ,F927 R921 ,F927 R922 ,F927 R923 ,F927 R924 ,F927 R935 
F934 ,F,F934 R902 ,F934 R908 ,F934 R911 ,F934 R912 ,F934 R913 ,F934 R919 ,F934 R920 ,F934 R921 ,F934 R922 ,F934 R923 ,F934 R924 ,F934 R935 
F935 ,G,F935 R902 ,F935 R908 ,F935 R911 ,F935 R912 ,F935 R913 ,F935 R919 ,F935 R920 ,F935 R921 ,F935 R922 ,F935 R923 ,F935 R924 ,F935 R935 
F936 ,H,F936 R902 ,F936 R908 ,F936 R911 ,F936 R912 ,F936 R913 ,F936 R919 ,F936 R920 ,F936 R921 ,F936 R922 ,F936 R923 ,F936 R924 ,F936 R935 
,,,,,,,,,,,,,
F,,R936 ,R937 ,R938 ,R943 ,R945 ,R946 ,R951 ,R959 ,R983 ,R986 ,R990 ,R996 
,,1,2,3,4,5,6,7,8,9,10,11,12
F904 ,A,F904 R936 ,F904 R937 ,F904 R938 ,F904 R943 ,F904 R945 ,F904 R946 ,F904 R951 ,F904 R959 ,F904 R983 ,F904 R986 ,F904 R990 ,F904 R996 
F906 ,B,F906 R936 ,F906 R937 ,F906 R938 ,F906 R943 ,F906 R945 ,F906 R946 ,F906 R951 ,F906 R959 ,F906 R983 ,F906 R986 ,F906 R990 ,F906 R996 
F908 ,C,F908 R936 ,F908 R937 ,F908 R938 ,F908 R943 ,F908 R945 ,F908 R946 ,F908 R951 ,F908 R959 ,F908 R983 ,F908 R986 ,F908 R990 ,F908 R996 
F916 ,D,F916 R936 ,F916 R937 ,F916 R938 ,F916 R943 ,F916 R945 ,F916 R946 ,F916 R951 ,F916 R959 ,F916 R983 ,F916 R986 ,F916 R990 ,F916 R996 
F927 ,E,F927 R936 ,F927 R937 ,F927 R938 ,F927 R943 ,F927 R945 ,F927 R946 ,F927 R951 ,F927 R959 ,F927 R983 ,F927 R986 ,F927 R990 ,F927 R996 
F934 ,F,F934 R936 ,F934 R937 ,F934 R938 ,F934 R943 ,F934 R945 ,F934 R946 ,F934 R951 ,F934 R959 ,F934 R983 ,F934 R986 ,F934 R990 ,F934 R996 
F935 ,G,F935 R936 ,F935 R937 ,F935 R938 ,F935 R943 ,F935 R945 ,F935 R946 ,F935 R951 ,F935 R959 ,F935 R983 ,F935 R986 ,F935 R990 ,F935 R996 
F936 ,H,F936 R936 ,F936 R937 ,F936 R938 ,F936 R943 ,F936 R945 ,F936 R946 ,F936 R951 ,F936 R959 ,F936 R983 ,F936 R986 ,F936 R990 ,F936 R996 
,,,,,,,,,,,,,
G,,R902 ,R908 ,R911 ,R912 ,R913 ,R919 ,R920 ,R921 ,R922 ,R923 ,R924 ,R935 
,,1,2,3,4,5,6,7,8,9,10,11,12
F937 ,A,F937 R902 ,F937 R908 ,F937 R911 ,F937 R912 ,F937 R913 ,F937 R919 ,F937 R920 ,F937 R921 ,F937 R922 ,F937 R923 ,F937 R924 ,F937 R935 
F938 ,B,F938 R902 ,F938 R908 ,F938 R911 ,F938 R912 ,F938 R913 ,F938 R919 ,F938 R920 ,F938 R921 ,F938 R922 ,F938 R923 ,F938 R924 ,F938 R935 
F939 ,C,F939 R902 ,F939 R908 ,F939 R911 ,F939 R912 ,F939 R913 ,F939 R919 ,F939 R920 ,F939 R921 ,F939 R922 ,F939 R923 ,F939 R924 ,F939 R935 
